Ad Number,Position,Category,Requirements,Requirements_processed,Sentiment,Domination
1,Department Manager,Manager/director/head,Lisans Derecesi ve üç yıllık perakende deneyimi veya derece yerine dört yıllık perakende deneyimi En az bir yıllık yönetim deneyimi koçluk ve mentorluk deneyimi perakende yönetiminde kanıtlanabilir deneyim İngilizce iletişim kurabilme perakende iş sistemlerini kullanabilme ve Microsoft Office'i kullanmak Hafta sonları akşamları ve tatil günlerinde gerektiği gibi çalışabilme,lisans derecesi ve üç yıllık perakende deneyimi veya derece yerine dört yıllık perakende deneyimi en az bir yıllık yönetim deneyimi koçluk ve mentorluk deneyimi perakende yönetiminde kanıtlanabilir deneyim ingilizce iletişim kurabilme perakende iş sistemlerini kullanabilme ve microsoft office'i kullanmak hafta sonları akşamları ve tatil günlerinde gerektiği gibi çalışabilme,positive,male-dominated
2,Head of Software Engineer,Engineering,Orta ölçekli bir yazılım geliştirme ekibine liderlik eden büyümeyi çeşitliliği teşvik eden ilham veren ve güçlendiren üç yılı aşkın deneyim Yazılım mühendisliğinde beş ve üzeri yıllık deneyim Güçlü performans yönetimi ilkeleri insanları geliştirme konusunda kanıtlanmış geçmiş performans Uzak çok kültürlü ekipleri yönetme deneyimi,orta ölçekli bir yazılım geliştirme ekibine liderlik eden büyümeyi çeşitliliği teşvik eden ilham veren ve güçlendiren üç yılı aşkın deneyim yazılım mühendisliğinde beş ve üzeri yıllık deneyim güçlü performans yönetimi ilkeleri insanları geliştirme konusunda kanıtlanmış geçmiş performans uzak çok kültürlü ekipleri yönetme deneyimi,positive,male-dominated
3,Freelance Data Engineer,Engineering,Yazılım geliştirmede üç yılı aşkın profesyonel deneyim Python ve Pandalar ile çalışma deneyimi Dağıtılmış hesaplama ve veri modellemenin temel ilkelerine aşinalık Mühendislik yazılım platformları ve veri altyapıları dahil olmak üzere nesne yönelimli tasarım ve kodlama ve test modelleriyle ilgili kapsamlı deneyim Airflow ve Luigi ile çalışma deneyimi büyük bir artı Scala ile çalışma deneyimi bir artıdır Google Cloud Platform'a aşinalık Boyutsal Modelleme ve Raylar ile çalışma deneyimi bir artıdır Üstün iletişim ve kişilerarası beceriler Tam zamanlı müsaitlik,yazılım geliştirmede üç yılı aşkın profesyonel deneyim python ve pandalar ile çalışma deneyimi dağıtılmış hesaplama ve veri modellemenin temel ilkelerine aşinalık mühendislik yazılım platformları ve veri altyapıları dahil olmak üzere nesne yönelimli tasarım ve kodlama ve test modelleriyle ilgili kapsamlı deneyim airflow ve luigi ile çalışma deneyimi büyük bir artı scala ile çalışma deneyimi bir artıdır google cloud platform'a aşinalık boyutsal modelleme ve raylar ile çalışma deneyimi bir artıdır üstün iletişim ve kişilerarası beceriler tam zamanlı müsaitlik,positive,male-dominated
4,Tedarik Zinciri Genel Müdür Yardımcısı,Manager/director/head (assistant),Stratejik Planlama ve hedef yayılım metotlarını etkin kullanan Satış Operasyon Planlama  süreçlerine hakim Liderlik becerileri güçlü Farklı lokasyonlardaki ekipleri yönetme ve denetleme konularında yetenekli Dinamik yenilikçi ve takım çalışmasına yatkın Analitik düşünme ve problem çözme yeteneği gelişmiş çözüm odaklı Planlama ve iş takip yeteneğine sahip Değişim yönetimi becerilerine ve stratejik bakış açısına sahip İletişimi güçlü ikna ve müzakere berileri yüksek Analitik raporlama ve planlama becerisi yüksek Detaylara hakim disiplinli sorumluluk sahibi ve iş aidiyeti yüksek,stratejik planlama ve hedef yayılım metotlarını etkin kullanan satış operasyon planlama  süreçlerine hakim liderlik becerileri güçlü farklı lokasyonlardaki ekipleri yönetme ve denetleme konularında yetenekli dinamik yenilikçi ve takım çalışmasına yatkın analitik düşünme ve problem çözme yeteneği gelişmiş çözüm odaklı planlama ve iş takip yeteneğine sahip değişim yönetimi becerilerine ve stratejik bakış açısına sahip iletişimi güçlü ikna ve müzakere berileri yüksek analitik raporlama ve planlama becerisi yüksek detaylara hakim disiplinli sorumluluk sahibi ve iş aidiyeti yüksek,positive,male-dominated
5,Yeni Nesil Kariyer Deneyimi,Teaching/Teacher,"Türkiye’deki üniversitelerde veya T.C. vatandaşı olarak yurtdışındaki üniversitelerde okuyan üçüncü ve dördüncü sınıf öğrencisiysen Tercihen Mühendislik veya İktisadi ve İdari Bilimler fakültelerinde okuyorsan Bu yaz stajın için fırsat arıyorsan
Çok iyi derecede İngilizce biliyorsan Öğrenmeye hevesli yeniliklere açık ve gelişim odaklıysan iyi bir takım oyuncusu olduğunu düşünüyorsan Online veya hibrit çalışma modelleri ile iş hayatını deneyimlemek istiyorsan","türkiye’deki üniversitelerde veya t.c. vatandaşı olarak yurtdışındaki üniversitelerde okuyan üçüncü ve dördüncü sınıf öğrencisiysen tercihen mühendislik veya iktisadi ve idari bilimler fakültelerinde okuyorsan bu yaz stajın için fırsat arıyorsan
çok iyi derecede ingilizce biliyorsan öğrenmeye hevesli yeniliklere açık ve gelişim odaklıysan iyi bir takım oyuncusu olduğunu düşünüyorsan online veya hibrit çalışma modelleri ile iş hayatını deneyimlemek istiyorsan",negative,female-dominated
6,Proje Stajyeri (İş Sağlığı Güvenliği),Internship,Eczacıbaşı Holding olarak yurtiçi ve yurtdışındaki kuruluşlarımızla yürüttüğümüz iş sağlığı ve güvenliği proje süreçlerine ve koordinasyona destek olmak Topluluk iş sağlığı ve güvenliği standartlarının oluşturulması ve denetim süreçlerinde görev almak Topluluk Afet Yönetim Sistemi projesinde görev almak Hazırlanacak sunumlara iç analiz ve değerlendirme raporlarına destek olmak Iç iletişim eğitim etkinlik süreçlerinde görev almak.,eczacıbaşı holding olarak yurtiçi ve yurtdışındaki kuruluşlarımızla yürüttüğümüz iş sağlığı ve güvenliği proje süreçlerine ve koordinasyona destek olmak topluluk iş sağlığı ve güvenliği standartlarının oluşturulması ve denetim süreçlerinde görev almak topluluk afet yönetim sistemi projesinde görev almak hazırlanacak sunumlara iç analiz ve değerlendirme raporlarına destek olmak iç iletişim eğitim etkinlik süreçlerinde görev almak.,neutral,neutral
7,Dağıtım Kanalları Üniversite Stajyeri,Internship,Satış ve dijital projelerin kurgulanması ve hayata geçirilmesi Satış raporlarının hazırlanması MDG sisteminde müşteri ve sevk adreslerinin tanımlanması Saha ekipleri ile olan süreçlerin ilerletilmesi Finansal raporların takibi ,satış ve dijital projelerin kurgulanması ve hayata geçirilmesi satış raporlarının hazırlanması mdg sisteminde müşteri ve sevk adreslerinin tanımlanması saha ekipleri ile olan süreçlerin ilerletilmesi finansal raporların takibi ,neutral,neutral
8,İnsan Kaynakları Uzman Yardımcısı,Manager/director/head (assistant),Üniversitelerin Mühendislik veya Sosyal Bilimler veya  İktisadi ve İdari Bilimler bölümlerinden mezun İnsan Kaynakları alanında kariyer hedefleyen İleri seviyede yazılı ve sözlü İngilizce bilgisine sahip MS Office programlarını iyi seviyede kullanabilen Kalite ve detay odaklı güçlü analitik düşünme planlama ve organizasyon yetkinliklerine sahip Güçlü iletişim ve iş birliği becerilerine sahip Değişime ve gelişime açık Seyahat engeli olmayan İzmir’de veya İstanbul’da ikamet eden,üniversitelerin mühendislik veya sosyal bilimler veya  iktisadi ve idari bilimler bölümlerinden mezun insan kaynakları alanında kariyer hedefleyen ileri seviyede yazılı ve sözlü ingilizce bilgisine sahip ms office programlarını iyi seviyede kullanabilen kalite ve detay odaklı güçlü analitik düşünme planlama ve organizasyon yetkinliklerine sahip güçlü iletişim ve iş birliği becerilerine sahip değişime ve gelişime açık seyahat engeli olmayan izmir’de veya istanbul’da ikamet eden,positive,male-dominated
9,Data Engineer,Engineering,Üniversitelerin Mühendislik bölümlerinden mezun SSIS ile ETL işleri geliştirme konusunda en az iki yıl deneyimli ODI senaryolarında ftp mail gönderim vb. bileşenleri kullanmış knowledge modüller konusunda bilgi sahibi İyi derecede MSSQL bilgisine sahip Ayrıca NoSQL tarafında da tecrübe edinmiş  performans iyileştirme çalışmalarında bulunmuş Tercihen Flink Spark ve Kafka gibi açık kaynak veri teknolojileriBulut tabanlı veri ambarları özellikle Redshift BigQuery veya Snowflake Apache Airflow Argo Workflow gibi orkestrasyon AWS ve Athena Glue Lambda ve Hudi Iceberg Delta Lake gibi data lake tablo formatları konusunda deneyimli Öğrenmeye açık alanındaki gelişmeleri takip eden takım çalışmasına yatkın çevik metodolojiler konusunda bilgi sahibi analiz yeteneği yüksek veriyi anlamlandırma konusunda yetkin Literatürü takip edecek ve problem çözümü destek çalışmalarında üreticilerin yurtdışı kaynakları ile İletişim kurabilecek düzeyde İngilizce bilen,üniversitelerin mühendislik bölümlerinden mezun ssis ile etl işleri geliştirme konusunda en az iki yıl deneyimli odi senaryolarında ftp mail gönderim vb. bileşenleri kullanmış knowledge modüller konusunda bilgi sahibi iyi derecede mssql bilgisine sahip ayrıca nosql tarafında da tecrübe edinmiş  performans iyileştirme çalışmalarında bulunmuş tercihen flink spark ve kafka gibi açık kaynak veri teknolojileribulut tabanlı veri ambarları özellikle redshift bigquery veya snowflake apache airflow argo workflow gibi orkestrasyon aws ve athena glue lambda ve hudi iceberg delta lake gibi data lake tablo formatları konusunda deneyimli öğrenmeye açık alanındaki gelişmeleri takip eden takım çalışmasına yatkın çevik metodolojiler konusunda bilgi sahibi analiz yeteneği yüksek veriyi anlamlandırma konusunda yetkin literatürü takip edecek ve problem çözümü destek çalışmalarında üreticilerin yurtdışı kaynakları ile iletişim kurabilecek düzeyde ingilizce bilen,positive,male-dominated
10,Veri Analitiği,Engineering,Üniversitelerin dört yıllık bölümlerinden mezun olmak Erkek adaylar için askerlik hizmetini tamamlamış veya muaf olmak İyi seviyede İngilizce bilmek Yurtiçi ve yurtdışı seyahat engeli bulunmamak B sınıfı araç ehliyetine sahip olmak Sözlü ve yazılı olarak kendini iyi ifade edebilmek Bursa'da ikamet eden veya edebilecek Veri analitiği çözümleri satışı konusunda tecrübe sahibi,üniversitelerin dört yıllık bölümlerinden mezun olmak erkek adaylar için askerlik hizmetini tamamlamış veya muaf olmak iyi seviyede ingilizce bilmek yurtiçi ve yurtdışı seyahat engeli bulunmamak b sınıfı araç ehliyetine sahip olmak sözlü ve yazılı olarak kendini iyi ifade edebilmek bursa'da ikamet eden veya edebilecek veri analitiği çözümleri satışı konusunda tecrübe sahibi,neutral,male-dominated
